@relation map

@attribute offSize numeric
@attribute defSize numeric
@attribute offValue numeric
@attribute defValue numeric
@attribute averageAltitude numeric
@attribute minAltitude numeric
@attribute maxAltitude numeric
@attribute currentAltitude numeric
@attribute fovValue numeric
@attribute lastAction {shoot,follow,explore_off,explore_def,hunt,retreat, idle}
@attribute life numeric
@attribute impactProba numeric
@attribute victory {VICTORY,DEFEAT}
@attribute touch{YES, NO}

@data
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
